train_id,train_name,route,departure_times
661,KRL Palur-Yogyakarta,"Palur,Solo Jebres,Solo Balapan,Purwosari,Gawok,Celanggu,Ceper,Klaten,Srowot,Brambanan,Maguwo,Lempuyangan,Yogyakarta","Palur:04:55,Solo Jebres:05:01,Solo Balapan:05:08,Purwosari:05:13,Gawok:05:20,Celanggu:05:26,Ceper:05:33,Klaten:05:42,Srowot:05:49,Brambanan:05:56,Maguwo:06:04,Lempuyangan:06:11,Yogyakarta:06:15"
669A,KRL Palur-Yogyakarta,"Palur,Solo Jebres,Solo Balapan,Purwosari,Gawok,Celanggu,Ceper,Klaten,Srowot,Brambanan,Maguwo,Lempuyangan,Yogyakarta","Palur:06:08,Solo Jebres:06:14,Solo Balapan:06:21,Purwosari:06:26,Gawok:05:33,Celanggu:06:39,Ceper:06:46,Klaten:06:55,Srowot:07:02,Brambanan:07:09,Maguwo:07:17,Lempuyangan:07:24,Yogyakarta:07:27"
677,KRL Palur-Yogyakarta,"Palur,Solo Jebres,Solo Balapan,Purwosari,Gawok,Celanggu,Ceper,Klaten,Srowot,Brambanan,Maguwo,Lempuyangan,Yogyakarta","Palur:07:15,Solo Jebres:07:21,Solo Balapan:07:29,Purwosari:07:35,Gawok:07:42,Celanggu:07:48,Ceper:07:55,Klaten:08:04,Srowot:08:11,Brambanan:08:18,Maguwo:08:26,Lempuyangan:08:35,Yogyakarta:08:39"
663,KRL Palur-Yogyakarta,"Palur,Solo Jebres,Solo Balapan,Purwosari,Gawok,Celanggu,Ceper,Klaten,Srowot,Brambanan,Maguwo,Lempuyangan,Yogyakarta","Palur:08:50,Solo Jebres:08:56,Solo Balapan:09:04,Purwosari:09:10,Gawok:09:17,Celanggu:09:23,Ceper:09:30,Klaten:09:39,Srowot:09:46,Brambanan:09:53,Maguwo:10:01,Lempuyangan:10:12,Yogyakarta:10:16"
671A,KRL Palur-Yogyakarta,"Palur,Solo Jebres,Solo Balapan,Purwosari,Gawok,Celanggu,Ceper,Klaten,Srowot,Brambanan,Maguwo,Lempuyangan,Yogyakarta","Palur:10:26,Solo Jebres:10:32,Solo Balapan:10:39,Purwosari:10:45,Gawok:10:52,Celanggu:10:58,Ceper:11:05,Klaten:11:14,Srowot:11:21,Brambanan:11:28,Maguwo:11:36,Lempuyangan:11:43,Yogyakarta:11:47"
679,KRL Palur-Yogyakarta,"Palur,Solo Jebres,Solo Balapan,Purwosari,Gawok,Celanggu,Ceper,Klaten,Srowot,Brambanan,Maguwo,Lempuyangan,Yogyakarta","Palur:11:20,Solo Jebres:11:26,Solo Balapan:11:33,Purwosari:11:39,Gawok:11:46,Celanggu:11:52,Ceper:11:59,Klaten:12:08,Srowot:12:15,Brambanan:12:22,Maguwo:12:30,Lempuyangan:12:37,Yogyakarta:12:41"
673,KRL Palur-Yogyakarta,"Palur,Solo Jebres,Solo Balapan,Purwosari,Gawok,Celanggu,Ceper,Klaten,Srowot,Brambanan,Maguwo,Lempuyangan,Yogyakarta","Palur:13:40,Solo Jebres:13:47,Solo Balapan:13:56,Purwosari:14:02,Gawok:14:09,Celanggu:14:15,Ceper:14:22,Klaten:14:32,Srowot:14:39,Brambanan:14:46,Maguwo:14:54,Lempuyangan:15:01,Yogyakarta:15:05"
681,KRL Palur-Yogyakarta,"Palur,Solo Jebres,Solo Balapan,Purwosari,Gawok,Celanggu,Ceper,Klaten,Srowot,Brambanan,Maguwo,Lempuyangan,Yogyakarta","Palur:14:50,Solo Jebres:14:57,Solo Balapan:15:08,Purwosari:15:14,Gawok:15:21,Celanggu:15:27,Ceper:15:34,Klaten:15:43,Srowot:15:50,Brambanan:15:57,Maguwo:16:05,Lempuyangan:16:12,Yogyakarta:16:16"
667,KRL Palur-Yogyakarta,"Palur,Solo Jebres,Solo Balapan,Purwosari,Gawok,Celanggu,Ceper,Klaten,Srowot,Brambanan,Maguwo,Lempuyangan,Yogyakarta","Palur:16:10,Solo Jebres:16:16,Solo Balapan:16:24,Purwosari:16:30,Gawok:16:37,Celanggu:16:43,Ceper:16:50,Klaten:16:59,Srowot:17:06,Brambanan:17:13,Maguwo:17:21,Lempuyangan:17:28,Yogyakarta:17:32"
675,KRL Palur-Yogyakarta,"Palur,Solo Jebres,Solo Balapan,Purwosari,Gawok,Celanggu,Ceper,Klaten,Srowot,Brambanan,Maguwo,Lempuyangan,Yogyakarta","Palur:17:05,Solo Jebres:17:11,Solo Balapan:17:20,Purwosari:17:26,Gawok:17:33,Celanggu:17:39,Ceper:17:46,Klaten:17:55,Srowot:18:02,Brambanan:18:09,Maguwo:18:17,Lempuyangan:18:24,Yogyakarta:18:28"
683A,KRL Palur-Yogyakarta,"Palur,Solo Jebres,Solo Balapan,Purwosari,Gawok,Celanggu,Ceper,Klaten,Srowot,Brambanan,Maguwo,Lempuyangan,Yogyakarta","Palur:18:11,Solo Jebres:18:17,Solo Balapan:18:25,Purwosari:18:32,Gawok:18:39,Celanggu:18:45,Ceper:18:52,Klaten:19:01,Srowot:19:08,Brambanan:19:15,Maguwo:19:23,Lempuyangan:19:30,Yogyakarta:19:34"
7101,KRL Palur-Yogyakarta,"Palur,Solo Jebres,Solo Balapan,Purwosari,Gawok,Celanggu,Ceper,Klaten,Srowot,Brambanan,Maguwo,Lempuyangan,Yogyakarta","Palur:20:53,Solo Jebres:20:59,Solo Balapan:21:06,Purwosari:21:12,Gawok:21:19,Celanggu:21:25,Ceper:21:32,Klaten:21:41,Srowot:21:48,Brambanan:21:55,Maguwo:22:03,Lempuyangan:22:10,Yogyakarta:22:14"
676,KRL Yogyakarta-Palur,"Yogyakarta,Lempuyangan,Maguwo,Brambanan,Srowot,Klaten,Ceper,Celanggu,Gawok,Purwosari,Solo Balapan,Solo Jebres,Palur","Yogyakarta:05:30,Lempuyangan:05:36,Maguwo:05:43,Brambanan:05:51,Srowot:05:58,Klaten:06:05,Ceper:06:14,Celanggu:06:21,Gawok:06:27,Purwosari:06:34,Solo Balapan:06:40,Solo Jebres:06:46,Palur:06:51"
