train_id,train_name,route,departure_times
1157,Commuter Line Bogor,"Bogor,Cilebut,Bojonggede,Citayam,Depok,Depok Baru,Pondok Cina,Univ. Indonesia,Univ. Pancasila,Lenteng Agung,Tanjung Barat,Pasar Minggu,Pasar Minggu Baru,Duren Kalibata,Cawang,Tebet,Manggarai,Cikini,Gondangdia,Juanda,Sawah Besar,Mangga Besar,Jayakarta,Jakarta Kota","Bogor:04:03,Cilebut:04:12,Bojonggede:04:18,Citayam:04:24,Depok:04:30,Depok Baru:04:34,Pondok Cina:04:36,Univ. Indonesia:04:40,Univ. Pancasila:04:42,Lenteng Agung:04:43,Tanjung Barat:04:45,Pasar Minggu:04:53,Pasar Minggu Baru:04:55,Duren Kalibata:04:56,Cawang:04:57,Tebet:04:58,Manggarai:05:06,Cikini:05:08,Gondangdia:05:10,Juanda:05:18,Sawah Besar:05:19,Mangga Besar:05:20,Jayakarta:05:25,Jakarta Kota:05:28"
1001,Commuter Line Bogor,"Bogor,Cilebut,Bojonggede,Citayam,Depok,Depok Baru,Pondok Cina,Univ. Indonesia,Univ. Pancasila,Lenteng Agung,Tanjung Barat,Pasar Minggu,Pasar Minggu Baru,Duren Kalibata,Cawang,Tebet,Manggarai","Bogor:04:13,Cilebut:04:22,Bojonggede:04:28,Citayam:04:34,Depok:04:40,Depok Baru:04:44,Pondok Cina:04:46,Univ. Indonesia:04:50,Univ. Pancasila:04:52,Lenteng Agung:04:53,Tanjung Barat:04:55,Pasar Minggu:05:03,Pasar Minggu Baru:05:05,Duren Kalibata:05:06,Cawang:05:07,Tebet:05:08,Manggarai:05:16"
1161,Commuter Line Bogor,"Bogor,Cilebut,Bojonggede,Citayam,Depok,Depok Baru,Pondok Cina,Univ. Indonesia,Univ. Pancasila,Lenteng Agung,Tanjung Barat,Pasar Minggu,Pasar Minggu Baru,Duren Kalibata,Cawang,Tebet,Manggarai,Cikini,Gondangdia,Juanda,Sawah Besar,Mangga Besar,Jayakarta,Jakarta Kota","Bogor:04:28,Cilebut:04:37,Bojonggede:04:43,Citayam:04:49,Depok:04:55,Depok Baru:04:59,Pondok Cina:05:01,Univ. Indonesia:05:05,Univ. Pancasila:05:07,Lenteng Agung:05:08,Tanjung Barat:05:10,Pasar Minggu:05:18,Pasar Minggu Baru:05:20,Duren Kalibata:05:21,Cawang:05:22,Tebet:05:23,Manggarai:05:31,Cikini:05:33,Gondangdia:05:35,Juanda:05:43,Sawah Besar:05:44,Mangga Besar:05:45,Jayakarta:05:51,Jakarta Kota:05:54"
1169,Commuter Line Bogor,"Bogor,Cilebut,Bojonggede,Citayam,Depok,Depok Baru,Pondok Cina,Univ. Indonesia,Univ. Pancasila,Lenteng Agung,Tanjung Barat,Pasar Minggu,Pasar Minggu Baru,Duren Kalibata,Cawang,Tebet,Manggarai,Cikini,Gondangdia,Juanda,Sawah Besar,Mangga Besar,Jayakarta,Jakarta Kota","Bogor:04:38,Cilebut:04:47,Bojonggede:04:53,Citayam:04:59,Depok:05:05,Depok Baru:05:09,Pondok Cina:05:11,Univ. Indonesia:05:15,Univ. Pancasila:05:17,Lenteng Agung:05:18,Tanjung Barat:05:20,Pasar Minggu:05:28,Pasar Minggu Baru:05:30,Duren Kalibata:05:31,Cawang:05:32,Tebet:05:33,Manggarai:05:42,Cikini:05:44,Gondangdia:05:46,Juanda:05:54,Sawah Besar:05:55,Mangga Besar:05:56,Jayakarta:06:02,Jakarta Kota:06:05"
1003,Commuter Line Bogor,"Bogor,Cilebut,Bojonggede,Citayam,Depok,Depok Baru,Pondok Cina,Univ. Indonesia,Univ. Pancasila,Lenteng Agung,Tanjung Barat,Pasar Minggu,Pasar Minggu Baru,Duren Kalibata,Cawang,Tebet,Manggarai","Bogor:04:42,Cilebut:04:51,Bojonggede:04:57,Citayam:05:03,Depok:05:09,Depok Baru:05:13,Pondok Cina:05:15,Univ. Indonesia:05:20,Univ. Pancasila:05:22,Lenteng Agung:05:23,Tanjung Barat:05:25,Pasar Minggu:05:33,Pasar Minggu Baru:05:35,Duren Kalibata:05:36,Cawang:05:37,Tebet:05:38,Manggarai:05:46"
1171,Commuter Line Bogor,"Bogor,Cilebut,Bojonggede,Citayam,Depok,Depok Baru,Pondok Cina,Univ. Indonesia,Univ. Pancasila,Lenteng Agung,Tanjung Barat,Pasar Minggu,Pasar Minggu Baru,Duren Kalibata,Cawang,Tebet,Manggarai,Cikini,Gondangdia,Juanda,Sawah Besar,Mangga Besar,Jayakarta,Jakarta Kota","Bogor:04:48,Cilebut:04:57,Bojonggede:05:03,Citayam:05:09,Depok:05:15,Depok Baru:05:19,Pondok Cina:05:21,Univ. Indonesia:05:25,Univ. Pancasila:05:27,Lenteng Agung:05:28,Tanjung Barat:05:30,Pasar Minggu:05:38,Pasar Minggu Baru:05:40,Duren Kalibata:05:41,Cawang:05:42,Tebet:05:43,Manggarai:05:51,Cikini:05:53,Gondangdia:05:56,Juanda:06:03,Sawah Besar:06:04,Mangga Besar:06:05,Jayakarta:06:12,Jakarta Kota:06:15"
1173,Commuter Line Bogor,"Bogor,Cilebut,Bojonggede,Citayam,Depok,Depok Baru,Pondok Cina,Univ. Indonesia,Univ. Pancasila,Lenteng Agung,Tanjung Barat,Pasar Minggu,Pasar Minggu Baru,Duren Kalibata,Cawang,Tebet,Manggarai,Cikini,Gondangdia,Juanda,Sawah Besar,Mangga Besar,Jayakarta,Jakarta Kota","Bogor:04:53,Cilebut:05:02,Bojonggede:05:08,Citayam:05:14,Depok:05:20,Depok Baru:05:24,Pondok Cina:05:26,Univ. Indonesia:05:30,Univ. Pancasila:05:32,Lenteng Agung:05:33,Tanjung Barat:05:35,Pasar Minggu:05:43,Pasar Minggu Baru:05:45,Duren Kalibata:05:46,Cawang:05:47,Tebet:05:48,Manggarai:05:57,Cikini:05:59,Gondangdia:06:01,Juanda:06:09,Sawah Besar:06:10,Mangga Besar:06:11,Jayakarta:06:17,Jakarta Kota:06:20"
1175,Commuter Line Bogor,"Bogor,Cilebut,Bojonggede,Citayam,Depok,Depok Baru,Pondok Cina,Univ. Indonesia,Univ. Pancasila,Lenteng Agung,Tanjung Barat,Pasar Minggu,Pasar Minggu Baru,Duren Kalibata,Cawang,Tebet,Manggarai,Cikini,Gondangdia,Juanda,Sawah Besar,Mangga Besar,Jayakarta,Jakarta Kota","Bogor:05:03,Cilebut:05:12,Bojonggede:05:18,Citayam:05:24,Depok:05:30,Depok Baru:05:34,Pondok Cina:05:36,Univ. Indonesia:05:40,Univ. Pancasila:05:42,Lenteng Agung:05:43,Tanjung Barat:05:45,Pasar Minggu:05:53,Pasar Minggu Baru:05:55,Duren Kalibata:05:56,Cawang:05:57,Tebet:05:58,Manggarai:06:06,Cikini:06:08,Gondangdia:06:10,Juanda:06:18,Sawah Besar:06:19,Mangga Besar:06:20,Jayakarta:06:27,Jakarta Kota:06:30"
1177,Commuter Line Bogor,"Bogor,Cilebut,Bojonggede,Citayam,Depok,Depok Baru,Pondok Cina,Univ. Indonesia,Univ. Pancasila,Lenteng Agung,Tanjung Barat,Pasar Minggu,Pasar Minggu Baru,Duren Kalibata,Cawang,Tebet,Manggarai,Cikini,Gondangdia,Juanda,Sawah Besar,Mangga Besar,Jayakarta,Jakarta Kota","Bogor:05:09,Cilebut:05:18,Bojonggede:05:24,Citayam:05:30,Depok:05:36,Depok Baru:05:40,Pondok Cina:05:42,Univ. Indonesia:05:46,Univ. Pancasila:05:48,Lenteng Agung:05:49,Tanjung Barat:05:51,Pasar Minggu:05:59,Pasar Minggu Baru:06:01,Duren Kalibata:06:02,Cawang:06:03,Tebet:06:04,Manggarai:06:13,Cikini:06:15,Gondangdia:06:17,Juanda:06:25,Sawah Besar:06:26,Mangga Besar:06:27,Jayakarta:06:33,Jakarta Kota:06:36"
1005,Commuter Line Bogor,"Bogor,Cilebut,Bojonggede,Citayam,Depok,Depok Baru,Pondok Cina,Univ. Indonesia,Univ. Pancasila,Lenteng Agung,Tanjung Barat,Pasar Minggu,Pasar Minggu Baru,Duren Kalibata,Cawang,Tebet,Manggarai","Bogor:05:13,Cilebut:05:22,Bojonggede:05:28,Citayam:05:34,Depok:05:40,Depok Baru:05:44,Pondok Cina:05:46,Univ. Indonesia:05:50,Univ. Pancasila:05:52,Lenteng Agung:05:53,Tanjung Barat:05:55,Pasar Minggu:06:03,Pasar Minggu Baru:06:05,Duren Kalibata:06:06,Cawang:06:07,Tebet:06:08,Manggarai:06:16"
